,molecule_chembl_id,canonical_smiles
0,CHEMBL1089750,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1
1,CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1
3,CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1
4,CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1
5,CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1
6,CHEMBL432343,CC12CC[C@@H](C1)C(C)(C)[C@H]2NS(=O)(=O)c1ccc(F)cc1
7,CHEMBL2114129,CC1(C)[C@@H]2CC[C@@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1
8,CHEMBL182896,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)CC1
9,CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
10,CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1
11,CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1
12,CHEMBL197456,CC(C(=O)O)c1ccc(-c2ccccc2Cl)c(F)c1
13,CHEMBL194098,CC(C(=O)O)c1ccc(-c2cccc(Cl)c2)c(F)c1
14,CHEMBL193415,CC(C(=O)O)c1ccc(-c2ccc(Cl)cc2)c(F)c1
15,CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1
17,CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1
18,CHEMBL194686,CC(C(=O)O)c1ccc(-c2ccccc2C(F)(F)F)c(F)c1
19,CHEMBL194274,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1
20,CHEMBL371875,CC(C(=O)O)c1ccc(-c2ccsc2)c(F)c1
21,CHEMBL194645,CC(C(=O)O)c1ccc(-c2ccncc2)c(F)c1
22,CHEMBL196321,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1
24,CHEMBL1394,CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1
25,CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1
26,CHEMBL197202,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1
27,CHEMBL426291,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(F)(F)F
28,CHEMBL196691,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1
29,CHEMBL194760,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1
30,CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1
31,CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1
33,CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1
34,CHEMBL193634,O=C(O)C1(c2ccc(-c3ccc(C4CCOCC4)cc3)c(F)c2)CC1
35,CHEMBL194692,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1
36,CHEMBL364738,CC(C)(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1
37,CHEMBL194838,O=C(O)C1(c2ccc(-c3ccc(C4CCCCC4)cc3)c(F)c2)CC1
38,CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1
39,CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1
40,CHEMBL427548,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1
41,CHEMBL197140,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1
42,CHEMBL382721,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1
43,CHEMBL436483,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1
45,CHEMBL196244,CC(C(=O)NO)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1
46,CHEMBL197305,CC(C(=O)NS(C)(=O)=O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1
48,CHEMBL193900,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1
50,CHEMBL194020,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1
51,CHEMBL194824,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(Cl)c1
52,CHEMBL557586,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC.Cl.Cl
53,CHEMBL429694,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+]
54,CHEMBL345124,CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[I-].[I-]
55,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
56,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
57,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
58,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2
59,CHEMBL241960,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccncc2)=CC1=O)Cc1ccncc1
60,CHEMBL241974,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2cccnc2)=CC1=O)Cc1cccnc1
61,CHEMBL244762,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccn2)=CC1=O)Cc1ccccn1
